Comment,Designator,Footprint,LCSC
TPD4E05U06DQAR,U1,USON-10_2.5x1.0mm_P0.5mm,C138714
10n,C1,C_0402_1005Metric,C15195
1u,C2,C_0603_1608Metric,C15849
USB_C_Receptacle_USB2.0,J1,HRO-TYPE-C-31-M-12,C165948
5V 3A,F1,Fuse_0805_2012Metric,C207025
60R@100MHz,FB1,L_0805_2012Metric,C237300
5k1,"R1,R2",R_0402_1005Metric,C25905
5V,D1,D_SOD-523,C502546
78171-0002,J3,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,C505023
78171-0004,J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
